year,district,pop_total,age_0_19,age_20_39,age_40_64,age_65_79,age_80plus,pct_0_19,pct_20_39,pct_40_64,pct_65_79,pct_80plus
1983,202-Av. d'Echallens,3815,615,1410,1093,528,169,0.1612,0.3696,0.2865,0.1384,0.0443
1983,203-Montétan,2241,324,678,719,386,134,0.1446,0.3025,0.3208,0.1722,0.0598
1983,204-Chablière,2552,493,847,809,322,81,0.1932,0.3319,0.317,0.1262,0.0317
1983,205-Valency,2114,329,521,692,433,139,0.1556,0.2465,0.3273,0.2048,0.0658
1983,3-Sébeillon/Malley,8369,1716,2834,2490,1021,308,0.205,0.3386,0.2975,0.122,0.0368
1983,301-Av. de Morges,2868,566,1070,842,320,70,0.1974,0.3731,0.2936,0.1116,0.0244
1983,302-Rue de Sébeillon,24,8,5,11,0,0,0.3333,0.2083,0.4583,0.0,0.0
1983,303-Tivoli,2026,366,632,638,304,86,0.1807,0.3119,0.3149,0.15,0.0424
1983,304-Prélaz,2178,398,677,648,311,144,0.1827,0.3108,0.2975,0.1428,0.0661
1983,305-Gare de Sébeillon,12,2,2,5,3,0,0.1667,0.1667,0.4167,0.25,0.0
