year,district,dw_total,dw_lt40,dw_40_59,dw_60_79,dw_80_99,dw_100_119,dw_120_159,dw_160plus,pct_small_surface,pct_large_surface
2021,3 - Sébeillon/Malley,6081,834,1519,2011,997,514,152,54,0.3869,0.0339
2021,4 - Montoie/Bourdonette,3895,594,1062,1318,648,175,74,24,0.4252,0.0252
2021,5 - Montriond/Cour,4815,582,1041,1530,879,384,249,150,0.3371,0.0829
2021,6 - Sous-Gare/Ouchy,6556,963,1533,1717,1102,627,395,219,0.3807,0.0937
2021,7 - Montchoisi,2296,248,630,791,314,124,126,63,0.3824,0.0823
2021,8 - Florimont/Chissiez,3293,411,762,775,488,256,359,242,0.3562,0.1825
2021,9 - Mousquines/Bellevue,1406,110,244,322,182,138,218,192,0.2518,0.2916
2021,90 - Zones foraines,1768,104,249,242,272,230,381,290,0.1997,0.3795
2022,1 - Centre,8706,2056,1768,2081,1357,637,581,226,0.4392,0.0927
2022,10 - Vallon/Béthusy,3847,616,1092,1083,611,230,162,53,0.444,0.0559
2022,11 - Chailly/Rovéréaz,4989,658,965,1280,801,440,429,416,0.3253,0.1694
2022,12 - Sallaz/Vennes/Séchaud,7385,1047,1392,1750,1667,940,446,143,0.3303,0.0798
2022,13 - Sauvabelin,416,68,56,182,89,15,5,1,0.2981,0.0144
2022,14 - Borde/Bellevaux,5219,698,1449,1834,748,331,121,38,0.4114,0.0305
2022,15 - Vinet/Pontaise,4572,1019,1239,1267,561,277,154,55,0.4939,0.0457
2022,16 - Bossons/Blécherette,3738,248,900,1534,650,302,93,11,0.3071,0.0278
2022,17 - Beaulieu/Grey/Boisy,3278,126,578,830,839,661,209,35,0.2148,0.0744
2022,2 - Maupas/Valency,8228,1225,2753,2596,1025,353,212,64,0.4835,0.0335
2022,3 - Sébeillon/Malley,6145,846,1518,2038,1018,520,154,51,0.3847,0.0334
2022,4 - Montoie/Bourdonette,4002,613,1108,1344,663,176,74,24,0.43,0.0245
2022,5 - Montriond/Cour,4847,591,1045,1535,880,392,253,151,0.3375,0.0834
2022,6 - Sous-Gare/Ouchy,6565,964,1539,1726,1103,624,392,217,0.3813,0.0928
2022,7 - Montchoisi,2294,247,630,790,312,128,126,61,0.3823,0.0815
2022,8 - Florimont/Chissiez,3295,412,761,774,490,256,359,243,0.356,0.1827
2022,9 - Mousquines/Bellevue,1434,110,242,335,196,140,223,188,0.2455,0.2866
2022,90 - Zones foraines,1796,118,248,246,271,229,384,300,0.2038,0.3808
2023,1 - Centre,8716,2058,1775,2085,1350,639,580,229,0.4398,0.0928
2023,10 - Vallon/Béthusy,3845,610,1099,1085,608,231,160,52,0.4445,0.0551
2023,11 - Chailly/Rovéréaz,4992,664,957,1282,812,432,429,416,0.3247,0.1693
2023,12 - Sallaz/Vennes/Séchaud,7419,1093,1388,1734,1669,941,447,147,0.3344,0.0801
2023,13 - Sauvabelin,416,68,56,182,89,15,5,1,0.2981,0.0144
2023,14 - Borde/Bellevaux,5217,699,1446,1834,748,331,121,38,0.4112,0.0305
2023,15 - Vinet/Pontaise,4600,1040,1243,1270,564,275,153,55,0.4963,0.0452
2023,16 - Bossons/Blécherette,4400,283,1033,1767,828,357,119,13,0.2991,0.03
2023,17 - Beaulieu/Grey/Boisy,3275,123,577,832,840,659,209,35,0.2137,0.0745
2023,2 - Maupas/Valency,8241,1230,2754,2607,1025,349,213,63,0.4834,0.0335
2023,3 - Sébeillon/Malley,6231,859,1551,2068,1022,525,155,51,0.3868,0.0331
2023,4 - Montoie/Bourdonette,4019,612,1111,1353,663,181,75,24,0.4287,0.0246
2023,5 - Montriond/Cour,4852,592,1055,1525,881,394,255,150,0.3394,0.0835
2023,6 - Sous-Gare/Ouchy,6583,967,1550,1723,1115,630,385,213,0.3823,0.0908
2023,7 - Montchoisi,2300,250,636,785,312,130,125,62,0.3852,0.0813
2023,8 - Florimont/Chissiez,3299,413,769,768,487,260,360,242,0.3583,0.1825
2023,9 - Mousquines/Bellevue,1446,110,242,335,201,147,224,187,0.2434,0.2842
2023,90 - Zones foraines,1794,120,246,246,268,228,388,298,0.204,0.3824
2024,1 - Centre,8816,2068,1801,2108,1386,644,579,230,0.4389,0.0918
2024,10 - Vallon/Béthusy,3858,620,1104,1087,608,227,160,52,0.4469,0.055
2024,11 - Chailly/Rovéréaz,5013,662,962,1288,817,435,430,419,0.324,0.1694
2024,12 - Sallaz/Vennes/Séchaud,7501,1129,1427,1745,1668,940,446,146,0.3408,0.0789
2024,13 - Sauvabelin,416,68,56,182,89,15,5,1,0.2981,0.0144
2024,14 - Borde/Bellevaux,5265,714,1462,1851,745,334,122,37,0.4133,0.0302
2024,15 - Vinet/Pontaise,4605,1041,1244,1271,564,275,156,54,0.4962,0.0456
2024,16 - Bossons/Blécherette,4690,297,1110,1865,881,391,131,15,0.3,0.0311
